"Time (s)","X (hPa)"
5.240984432E2,1.008747253E3
5.251734072E2,1.008747711E3
5.262483952E2,1.008749313E3
5.273234222E2,1.008754349E3
5.283984542E2,1.008760452E3
5.294734162E2,1.008765564E3
5.305483712E2,1.008772507E3
5.316233192E2,1.008777313E3
5.326982522E2,1.008779907E3
5.337732282E2,1.008779907E3
5.348482272E2,1.008779297E3
5.359231872E2,1.008777161E3
5.369981912E2,1.008772507E3
5.380731482E2,1.008764877E3
5.391481112E2,1.008760223E3
5.402231052E2,1.008752060E3
5.412980712E2,1.008747177E3
5.423730272E2,1.008744125E3
5.434480632E2,1.008744125E3
5.445230302E2,1.008744125E3
5.455980702E2,1.008744125E3
5.466730382E2,1.008745193E3
5.477479722E2,1.008747482E3
5.488229012E2,1.008749695E3
5.498978742E2,1.008749695E3
5.509728352E2,1.008749542E3
5.520477642E2,1.008748016E3
5.531227822E2,1.008748016E3
5.541977412E2,1.008749771E3
5.552726932E2,1.008752060E3
5.563476522E2,1.008757401E3
5.574226122E2,1.008765945E3
5.584975512E2,1.008771896E3
5.595725442E2,1.008775177E3
5.606475872E2,1.008775177E3
5.617226322E2,1.008774872E3
5.627976422E2,1.008769531E3
5.638725852E2,1.008764496E3
5.649475132E2,1.008757095E3
5.660224682E2,1.008751297E3
5.670974092E2,1.008747253E3
5.681723862E2,1.008740921E3
5.692473732E2,1.008740921E3
5.703224122E2,1.008745575E3
5.713974192E2,1.008746796E3
5.724724112E2,1.008753967E3
5.735473942E2,1.008758392E3
5.746223932E2,1.008760986E3
5.756974022E2,1.008764725E3
5.767724422E2,1.008764725E3
5.778474942E2,1.008764725E3
5.789225182E2,1.008764725E3
5.799975402E2,1.008764725E3
5.810725302E2,1.008764725E3
5.821475372E2,1.008764725E3
5.832225302E2,1.008765488E3
5.842975272E2,1.008766403E3
5.853724652E2,1.008766632E3
5.864474102E2,1.008767242E3
5.875224132E2,1.008769379E3
5.885973892E2,1.008769913E3
5.896723082E2,1.008770981E3
5.907472952E2,1.008773727E3
5.918222782E2,1.008775024E3
5.928972302E2,1.008776093E3
5.939721662E2,1.008776245E3
5.950470862E2,1.008776245E3
5.961220272E2,1.008775177E3
5.971969512E2,1.008774872E3
5.982718822E2,1.008773499E3
5.993469142E2,1.008769913E3
6.004218792E2,1.008767853E3
6.014968482E2,1.008767700E3
6.025717732E2,1.008765106E3
6.036466992E2,1.008765106E3
6.047216582E2,1.008765488E3
6.057966252E2,1.008765488E3
6.068715752E2,1.008763275E3
6.079465692E2,1.008762360E3
6.090214932E2,1.008761978E3
6.100964822E2,1.008761292E3
6.111713372E2,1.008761139E3
6.122462772E2,1.008760757E3
6.133212582E2,1.008760300E3
6.143962022E2,1.008759689E3
6.154711542E2,1.008758774E3
6.165461092E2,1.008758774E3
6.176211602E2,1.008758392E3
6.186961052E2,1.008758392E3
6.197710712E2,1.008757095E3
6.208460652E2,1.008756866E3
6.219210632E2,1.008756714E3
6.229960252E2,1.008756866E3
6.240710602E2,1.008758011E3
6.251460432E2,1.008759232E3
6.262210832E2,1.008760223E3
6.272960362E2,1.008760452E3
6.283710572E2,1.008760452E3
6.294460212E2,1.008759079E3
6.305210382E2,1.008759003E3
6.315960462E2,1.008757706E3
6.326710412E2,1.008757706E3
6.337460122E2,1.008759003E3
6.348209992E2,1.008760452E3
6.358960012E2,1.008760529E3
6.369709712E2,1.008761139E3
6.380459262E2,1.008762207E3
6.391209282E2,1.008762207E3
6.401958562E2,1.008761749E3
6.412707822E2,1.008761749E3
6.423457262E2,1.008761139E3
6.434206852E2,1.008760529E3
6.444956112E2,1.008759689E3
6.455705132E2,1.008759613E3
6.466454672E2,1.008759613E3
6.477204672E2,1.008760452E3
6.487954822E2,1.008760452E3
6.498704152E2,1.008760452E3
6.509453312E2,1.008760757E3
6.520202312E2,1.008760757E3
6.530951992E2,1.008759003E3
6.541701552E2,1.008756027E3
6.552450912E2,1.008754654E3
6.563200102E2,1.008747025E3
6.573949352E2,1.008745193E3
6.584698632E2,1.008739853E3
6.595447932E2,1.008733749E3
6.606196832E2,1.008732300E3
6.616946342E2,1.008731232E3
6.627696292E2,1.008732300E3
6.638445512E2,1.008734131E3
6.649195332E2,1.008738327E3
6.659944972E2,1.008743439E3
6.670694622E2,1.008745956E3
6.681444322E2,1.008748550E3
6.692194342E2,1.008752060E3
6.702944092E2,1.008756256E3
6.713693482E2,1.008757172E3
6.724443082E2,1.008760757E3
6.735193142E2,1.008764038E3
6.745942622E2,1.008764267E3
6.756692332E2,1.008764343E3
6.767442322E2,1.008766785E3
6.778192202E2,1.008766785E3
6.788941672E2,1.008765488E3
6.799690952E2,1.008765335E3
6.810440522E2,1.008763809E3
6.821189642E2,1.008761749E3
6.831938742E2,1.008758087E3
6.842687862E2,1.008755188E3
6.853436942E2,1.008751450E3
6.864186122E2,1.008747253E3
6.874934812E2,1.008744049E3
6.885683662E2,1.008744049E3
6.896432362E2,1.008744965E3
6.907181542E2,1.008748703E3
6.917930852E2,1.008752060E3
6.928680222E2,1.008755722E3
6.939429122E2,1.008759232E3
6.950178192E2,1.008760986E3
6.960927582E2,1.008762131E3
6.971677392E2,1.008762131E3
6.982426812E2,1.008762436E3
6.993176772E2,1.008764114E3
7.003926332E2,1.008764114E3
7.014676172E2,1.008764114E3
7.025426132E2,1.008766327E3
7.036175342E2,1.008767624E3
7.046925102E2,1.008768082E3
7.057675012E2,1.008768082E3
7.068424322E2,1.008769913E3
7.079173832E2,1.008769913E3
7.089922972E2,1.008769531E3
7.100671702E2,1.008767014E3
7.111420592E2,1.008766556E3
7.122170412E2,1.008764267E3
7.132920432E2,1.008758392E3
7.143670662E2,1.008756714E3
7.154420222E2,1.008756104E3
